"1","2","0",\N,"The organization employs automated mechanisms to support the management of information system accounts.",\N,"2"
"2","2","0",\N,"The information system automatically terminates temporary and emergency accounts after [ Assignment: organization-defined time period for each type of account ].",\N,"2"
"3","2","0",\N,"The information system automatically disables inactive accounts after [ Assignment: organization-defined time period ].",\N,"2"
"4","2","0",\N,"The information system automatically audits account creation, modification, disabling, and termination actions and notifies, as required, appropriate individuals.",\N,"2"
"5","0","0",\N,"The organization: Requires that users log out when [ Assignment: organization defined time-period of expected inactivity and/or description of when to log out ]; Determines normal time-of-day and duration usage for information system accounts; Monitors fo",\N,"2"
"6","0","0",\N,"The information system dynamically manages user privileges and associated access authorizations.","In contrast to conventional access control approaches which employ static information system accounts and predefined sets of user privileges, many service-oriented architecture implementations rely on run time access control decisions facilitated by dynam","2"
"7","0","0",\N,"The organization: Establishes and administers privileged user accounts in accordance with a role-based access scheme that organizes information system and network privileges into roles; and Tracks and monitors privileged role assignments.","Privileged roles include, for example, key management, network and system administration, database administration, web administration.","2"
"1","0","1",\N," Withdrawn: Incorporated into AC-6 ].",\N,"10"
"2","0","0",\N,"The information system enforces dual authorization, based on organizational policies and procedures for [ Assignment: organization-defined privileged commands ].","Dual authorization mechanisms require two forms of approval to execute. The organization does not employ dual authorization mechanisms when an immediate response is necessary to ensure public and environmental safety.","10"
"3","0","0",\N,"The information system enforces [ Assignment: organization-defined nondiscretionary access control policies ] over [ Assignment: organization-defined set of users and resources ] where the policy rule set for each policy specifies: Access control informat","Nondiscretionary access control policies that may be implemented by organizations include, for example, Attribute-Based Access Control, Mandatory Access Control, and Originator Controlled Access Control. Nondiscretionary access control policies may be emp","10"
"4","0","0",\N,"The information system enforces a Discretionary Access Control (DAC) policy that: Allows users to specify and control sharing by named individuals or groups of individuals, or by both; Limits propagation of access rights; and Includes or excludes access t",\N,"10"
"5","0","0",\N,"The information system prevents access to [ Assignment: organization-defined security-relevant information ] except during secure, nonoperable system states.","Security-relevant information is any information within the information system that can potentially impact the operation of security functions in a manner that could result in failure to enforce the system security policy or maintain isolation of code and","10"
"6","0","0",\N,"The organization encrypts or stores off-line in a secure location [ Assignment: organization-defined user and/or system information ].","The use of encryption by the organization reduces the probability of unauthorized disclosure of information and can also detect unauthorized changes to information. Removing information from online storage to offline storage eliminates the possibility of ","10"
"1","0","0",\N,"The information system enforces information flow control using explicit security attributes on information, source, and destination objects as a basis for flow control decisions.","Information flow enforcement mechanisms compare security attributes on all information (data content and data structure), source and destination objects, and respond appropriately (e.g., block, quarantine, alert administrator) when the mechanisms encounte","17"
"2","0","0",\N,"The information system enforces information flow control using protected processing domains (e.g., domain type-enforcement) as a basis for flow control decisions.",\N,"17"
"3","0","0",\N,"The information system enforces dynamic information flow control based on policy that allows or disallows information flows based on changing conditions or operational considerations.",\N,"17"
"4","0","0",\N,"The information system prevents encrypted data from bypassing content-checking mechanisms.",\N,"17"
"5","0","0",\N,"The information system enforces [ Assignment: organization-defined limitations on the embedding of data types within other data types ].",\N,"17"
"6","0","0",\N,"The information system enforces information flow control on metadata.",\N,"17"
"7","0","0",\N,"The information system enforces [ Assignment: organization-defined one-way flows ] using hardware mechanisms.",\N,"17"
"8","0","0",\N,"The information system enforces information flow control using [ Assignment: organization-defined security policy filters ] as a basis for flow control decisions.","Organization-defined security policy filters include, for example, dirty word filters, file type checking filters, structured data filters, unstructured data filters, metadata content filters, and hidden content filters. Structured data permits the interp","17"
"9","0","0",\N,"The information system enforces the use of human review for [ Assignment: organization-defined security policy filters ] when the system is not capable of making an information flow control decision.",\N,"17"
"10","0","0",\N,"The information system provides the capability for a privileged administrator to enable/disable [ Assignment: organization-defined security policy filters ].",\N,"17"
"11","0","0",\N,"The information system provides the capability for a privileged administrator to configure [ Assignment: organization-defined security policy filters ] to support different security policies.","For example, to reflect changes in the security policy, an administrator can change the list of \"dirty words\" that the security policy mechanism checks in accordance with the definitions provided by the organization.","17"
"12","0","0",\N,"The information system, when transferring information between different security domains, identifies information flows by data type specification and usage.","Data type specification and usage include, for example, using file naming to reflect type of data and limiting data transfer based on file type.","17"
"13","0","0",\N,"The information system, when transferring information between different security domains, decomposes information into policy-relevant subcomponents for submission to policy enforcement mechanisms.","Policy enforcement mechanisms include the filtering and/or sanitization rules that are applied to information prior to transfer to a different security domain. Parsing transfer files facilitates policy decisions on source, destination, certificates, class","17"
"14","0","0",\N,"The information system, when transferring information between different security domains, implements policy filters that constrain data structure and content to [ Assignment: organization-defined information security policy requirements ].","Constraining file lengths, allowed enumerations, character sets, schemas, and other data object attributes reduces the range of potential malicious and/or unsanctioned content. Examples of constraints include ensuring that: (i) character data fields only ","17"
"15","0","0",\N,"The information system, when transferring information between different security domains, detects unsanctioned information and prohibits the transfer of such information in accordance with the security policy.","Actions to support this enhancement include: checking all transferred information for malware, implementing dirty word list searches on transferred information, and applying the same protection measures to metadata (e.g., security attributes) that is appl","17"
"16","0","0",\N,"The information system enforces security policies regarding information on interconnected systems.","Transferring information between interconnected information systems of differing security policies introduces risk that such transfers violate one or more policies. While security policy violations may not be absolutely prohibited, policy guidance from in","17"
"17","0","0",\N,"The information system: Uniquely identifies and authenticates source and destination domains for information transfer; Binds security attributes to information to facilitate information flow policy enforcement; and Tracks problems associated with the secu","Attribution is a critical component of a security concept of operations. The ability to identify source and destination points for information flowing in an information system, allows forensic reconstruction of events when required, and increases policy c","17"
"1","2","0",\N,"The organization explicitly authorizes access to [ Assignment: organization-defined list of security functions (deployed in hardware, software, and firmware) and security-relevant information ].","Establishing system accounts, configuring access authorizations (i.e., permissions, privileges), setting events to be audited, and setting intrusion detection parameters are examples of security functions. Explicitly authorized personnel include, for exam","36"
"2","2","0",\N,"The organization requires that users of information system accounts, or roles, with access to [ Assignment: organization-defined list of security functions or security-relevant information ], use non-privileged accounts, or roles, when accessing other sys","This control enhancement is intended to limit exposure due to operating from within a privileged account or role. The inclusion of role is intended to address those situations where an access control policy such as Role Based Access Control (RBAC) is bein","36"
"3","0","0",\N,"The organization authorizes network access to [ Assignment: organization-defined privileged commands ] only for compelling operational needs and documents the rationale for such access in the security plan for the information system.",\N,"36"
"4","0","0",\N,"The information system provides separate processing domains to enable finer-grained allocation of user privileges.","Employing virtualization techniques to allow greater privilege within a virtual machine while restricting privilege to the underlying actual machine is an example of providing separate processing domains for finer-grained allocation of user privileges.","36"
